Year,Month,State,Suicides,Suicides with guns,Fraction of suicides with guns
1999,1,Alabama,43,31,0.7209302326
1999,2,Alabama,48,38,0.7916666667
1999,3,Alabama,33,28,0.8484848485
1999,4,Alabama,52,44,0.8461538462
1999,5,Alabama,55,43,0.7818181818
1999,6,Alabama,46,36,0.7826086957
1999,7,Alabama,34,27,0.7941176471
1999,8,Alabama,57,44,0.7719298246
1999,9,Alabama,48,37,0.7708333333
1999,10,Alabama,49,37,0.7551020408
1999,11,Alabama,41,31,0.756097561
1999,12,Alabama,48,39,0.8125
2000,1,Alabama,57,42,0.7368421053
2000,2,Alabama,53,36,0.679245283
2000,3,Alabama,48,39,0.8125
2000,4,Alabama,49,42,0.8571428571
2000,5,Alabama,49,32,0.6530612245
2000,6,Alabama,58,45,0.775862069
2000,7,Alabama,41,31,0.756097561
2000,8,Alabama,50,37,0.74
2000,9,Alabama,50,33,0.66
2000,10,Alabama,48,33,0.6875
2000,11,Alabama,37,26,0.7027027027
2000,12,Alabama,42,31,0.7380952381
2001,1,Alabama,42,32,0.7619047619
2001,2,Alabama,41,30,0.7317073171
2001,3,Alabama,44,37,0.8409090909
2001,4,Alabama,27,25,0.9259259259
2001,5,Alabama,41,34,0.8292682927
2001,6,Alabama,38,27,0.7105263158
2001,7,Alabama,45,33,0.7333333333
2001,8,Alabama,51,36,0.7058823529
2001,9,Alabama,45,30,0.6666666667
2001,10,Alabama,50,40,0.8
2001,11,Alabama,48,33,0.6875
2001,12,Alabama,40,30,0.75
2002,1,Alabama,40,25,0.625
2002,2,Alabama,48,37,0.7708333333
2002,3,Alabama,40,29,0.725
2002,4,Alabama,43,30,0.6976744186
2002,5,Alabama,45,34,0.7555555556
2002,6,Alabama,46,35,0.7608695652
2002,7,Alabama,47,34,0.7234042553
2002,8,Alabama,42,36,0.8571428571
2002,9,Alabama,50,37,0.74
2002,10,Alabama,34,28,0.8235294118
2002,11,Alabama,35,24,0.6857142857
2002,12,Alabama,43,32,0.7441860465
2003,1,Alabama,52,42,0.8076923077
2003,2,Alabama,24,22,0.9166666667
2003,3,Alabama,42,32,0.7619047619
2003,4,Alabama,40,30,0.75
2003,5,Alabama,41,30,0.7317073171
2003,6,Alabama,45,30,0.6666666667
2003,7,Alabama,48,40,0.8333333333
2003,8,Alabama,46,36,0.7826086957
2003,9,Alabama,34,28,0.8235294118
2003,10,Alabama,48,39,0.8125
2003,11,Alabama,47,30,0.6382978723
2003,12,Alabama,53,40,0.7547169811
2004,1,Alabama,49,36,0.7346938776
2004,2,Alabama,53,36,0.679245283
2004,3,Alabama,35,27,0.7714285714
2004,4,Alabama,34,20,0.5882352941
2004,5,Alabama,42,26,0.619047619
2004,6,Alabama,53,38,0.7169811321
2004,7,Alabama,44,32,0.7272727273
2004,8,Alabama,51,32,0.6274509804
2004,9,Alabama,41,33,0.8048780488
2004,10,Alabama,35,23,0.6571428571
2004,11,Alabama,51,37,0.7254901961
2004,12,Alabama,53,35,0.6603773585
2005,1,Alabama,53,43,0.8113207547
2005,2,Alabama,32,21,0.65625
2005,3,Alabama,48,27,0.5625
2005,4,Alabama,44,30,0.6818181818
2005,5,Alabama,46,36,0.7826086957
2005,6,Alabama,34,18,0.5294117647
2005,7,Alabama,44,34,0.7727272727
2005,8,Alabama,47,31,0.6595744681
2005,9,Alabama,42,23,0.5476190476
2005,10,Alabama,58,43,0.7413793103
2005,11,Alabama,52,33,0.6346153846
2005,12,Alabama,35,30,0.8571428571
2006,1,Alabama,32,23,0.71875
2006,2,Alabama,52,37,0.7115384615
2006,3,Alabama,52,38,0.7307692308
2006,4,Alabama,58,41,0.7068965517
2006,5,Alabama,53,36,0.679245283
2006,6,Alabama,49,37,0.7551020408
2006,7,Alabama,53,31,0.5849056604
2006,8,Alabama,38,24,0.6315789474
2006,9,Alabama,56,36,0.6428571429
2006,10,Alabama,51,39,0.7647058824
2006,11,Alabama,42,25,0.5952380952
2006,12,Alabama,43,33,0.7674418605
2007,1,Alabama,54,34,0.6296296296
2007,2,Alabama,39,27,0.6923076923
2007,3,Alabama,37,22,0.5945945946
2007,4,Alabama,34,26,0.7647058824
2007,5,Alabama,57,34,0.5964912281
2007,6,Alabama,53,32,0.6037735849
2007,7,Alabama,58,40,0.6896551724
2007,8,Alabama,62,42,0.6774193548
2007,9,Alabama,53,38,0.7169811321
2007,10,Alabama,44,33,0.75
2007,11,Alabama,51,38,0.7450980392
2007,12,Alabama,50,30,0.6
2008,1,Alabama,61,44,0.7213114754
2008,2,Alabama,50,36,0.72
2008,3,Alabama,46,37,0.8043478261
2008,4,Alabama,50,35,0.7
2008,5,Alabama,55,33,0.6
2008,6,Alabama,48,38,0.7916666667
2008,7,Alabama,62,48,0.7741935484
2008,8,Alabama,49,32,0.6530612245
2008,9,Alabama,47,33,0.7021276596
2008,10,Alabama,55,33,0.6
2008,11,Alabama,45,33,0.7333333333
2008,12,Alabama,34,22,0.6470588235
2009,1,Alabama,66,55,0.8333333333
2009,2,Alabama,51,34,0.6666666667
2009,3,Alabama,63,42,0.6666666667
2009,4,Alabama,51,34,0.6666666667
2009,5,Alabama,54,35,0.6481481481
2009,6,Alabama,62,46,0.7419354839
2009,7,Alabama,58,42,0.724137931
2009,8,Alabama,68,41,0.6029411765
2009,9,Alabama,40,27,0.675
2009,10,Alabama,68,53,0.7794117647
2009,11,Alabama,48,38,0.7916666667
2009,12,Alabama,44,32,0.7272727273
2010,1,Alabama,61,41,0.6721311475
2010,2,Alabama,56,46,0.8214285714
2010,3,Alabama,73,47,0.6438356164
2010,4,Alabama,54,29,0.537037037
2010,5,Alabama,62,41,0.6612903226
2010,6,Alabama,58,39,0.6724137931
2010,7,Alabama,55,36,0.6545454545
2010,8,Alabama,58,33,0.5689655172
2010,9,Alabama,46,31,0.6739130435
2010,10,Alabama,56,41,0.7321428571
2010,11,Alabama,56,38,0.6785714286
2010,12,Alabama,44,32,0.7272727273
2011,1,Alabama,62,41,0.6612903226
2011,2,Alabama,45,31,0.6888888889
2011,3,Alabama,63,40,0.6349206349
2011,4,Alabama,62,41,0.6612903226
2011,5,Alabama,68,50,0.7352941176
2011,6,Alabama,58,38,0.6551724138
2011,7,Alabama,58,42,0.724137931
2011,8,Alabama,57,43,0.7543859649
2011,9,Alabama,38,29,0.7631578947
2011,10,Alabama,38,24,0.6315789474
