"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2022821,"June 2, 2021",Ohio,Toledo,"1830 W Bancroft St",0,4,N/A
2022391,"June 2, 2021",Ohio,Springfield,"1935 S Yellow Springs St",0,6,N/A
2021130,"May 31, 2021","New York",Brooklyn,"Knickerbocker Ave",0,5,N/A
2021398,"May 31, 2021",Missouri,"Saint Louis","8800 block of N Broadway",0,4,N/A
2022129,"May 31, 2021",Ohio,"Cleveland (Garfield Heights)","13000 block of Alvin Ave",1,5,N/A
2019751,"May 30, 2021",Alabama,Aliceville,"7th Street NE",1,4,N/A
2019622,"May 30, 2021",Florida,Miami,"7630 NW 186th St",2,21,N/A
2020535,"May 30, 2021",Illinois,Chicago,"6718 S Stony Island Ave",0,4,N/A
2019155,"May 29, 2021",Texas,"San Antonio","3300 block of Fallen Leaf Ln",2,2,N/A
2019384,"May 29, 2021",Missouri,"Saint Louis","10466 W Florissant Ave",1,3,N/A
2018931,"May 28, 2021",Florida,Miami,"2022 NW 1st Ct",1,6,N/A
2018495,"May 27, 2021","North Carolina",Durham,"1200 block of Fayetteville St",0,5,N/A
2015849,"May 26, 2021",Illinois,Chicago,"7200 block of S Princeton Ave",0,4,N/A
2015730,"May 26, 2021",California,"San Jose","101 W Younger Ave",10,0,N/A
2014343,"May 24, 2021",Michigan,Inkster,"27000 block of Rosewood St",2,2,N/A
2014381,"May 24, 2021",Ohio,"West Jefferson","127 Jackson St",4,0,N/A
2012971,"May 23, 2021",Illinois,Chicago,"3344 W Ohio St",0,4,N/A
2013595,"May 23, 2021","New York","Bay Shore","135 S Clinton Ave",0,4,N/A
2013059,"May 23, 2021","New Jersey",Paterson,"Hillman St and E Main St",0,5,N/A
2013096,"May 23, 2021",Virginia,Norfolk,"3100 block of Westminster Ave",0,4,N/A
2012345,"May 22, 2021",Delaware,Wilmington,"800 block of N Pine St",0,4,N/A
2013043,"May 22, 2021",Ohio,Columbus,"233 S Civic Center Dr",1,5,N/A
2012765,"May 22, 2021","South Carolina","North Charleston","Piggly Wiggly Dr and W Jimtown Dr",1,13,N/A
2011569,"May 22, 2021",Minnesota,Minneapolis,"322 N 1st Ave",2,7,N/A
2011610,"May 22, 2021",Indiana,"Fort Wayne","2177 Eden St",1,4,N/A
2012633,"May 22, 2021","New Jersey",Bridgeton,"1029 E Commerce St",3,11,N/A
2011482,"May 21, 2021","New Jersey","Jersey City","16 Brinkerhoff St",2,4,N/A
2011077,"May 21, 2021","New York",Albany,"1st St and Quail St",1,5,N/A
2010083,"May 20, 2021",Indiana,Evansville,"800 block of Shadewood Ave",1,3,N/A
2007722,"May 18, 2021",California,Oakland,"I-580 and Seminary Ave",2,5,N/A
2008415,"May 18, 2021",California,Hemet,"1200 block of Valencia Ave",1,4,N/A
2005991,"May 16, 2021",Ohio,Cincinnati,"7751 Reading Rd",1,3,N/A
2005776,"May 16, 2021",Georgia,Atlanta,"630 Travis St NW",0,4,N/A
2005671,"May 16, 2021",Michigan,"East Lansing","6170 Abbot Rd",0,5,N/A
2006621,"May 16, 2021",Georgia,Columbus,"2727 Manchester Expy",0,4,N/A
2006204,"May 16, 2021",Georgia,"Stone Mountain","4766 Redan Rd",1,5,N/A
2005813,"May 16, 2021",Alabama,Birmingham,"1010 18th St S",1,4,N/A
2005196,"May 15, 2021","New York",Bronx,"1625 Webster Ave",1,4,N/A
2005238,"May 15, 2021","District of Columbia",Washington,"3900 block of Minnesota Ave NE",1,3,N/A
2004666,"May 15, 2021",Illinois,Chicago,"7800 block of S Loomis St",2,3,N/A
2004413,"May 14, 2021",Pennsylvania,Philadelphia,"5600 block of Market St",0,4,N/A
2003383,"May 13, 2021",Georgia,Augusta,"201 E Telfair St",2,2,N/A
2003167,"May 13, 2021","District of Columbia",Washington,"200 block of 37th Pl SE",0,4,N/A
2003334,"May 13, 2021","Rhode Island",Providence,"87 Carolina Ave",0,8,N/A
2002286,"May 12, 2021",Georgia,Buford,"2910 Buford Dr NE",2,2,N/A
2002269,"May 12, 2021",Pennsylvania,Philadelphia,"5500 block of Kingsessing Ave",1,3,N/A
2001137,"May 11, 2021",Maryland,Baltimore,"800 block of W Lexington St",0,4,N/A
2001362,"May 10, 2021",Alabama,Montgomery,"3804 S Court St",0,7,N/A
1999125,"May 9, 2021",Colorado,"Colorado Springs","2828 Preakness Way",7,0,N/A
1999193,"May 9, 2021",Arizona,Phoenix,"122 N 2nd St",1,7,N/A
1999909,"May 9, 2021",California,"Los Angeles","6112 W Afton Pl",1,3,N/A
2000132,"May 9, 2021","South Carolina",Charleston,"500 Block of King St",0,5,N/A
1999423,"May 9, 2021","New Jersey",Newark,"378 Chancellor Ave",0,4,N/A
1999417,"May 9, 2021",Pennsylvania,Philadelphia,"100 block of E Albanus St",2,3,N/A
1998865,"May 8, 2021",California,"Citrus Heights","7440 Auburn Blvd",0,4,N/A
1998693,"May 8, 2021",California,Oakland,"1440 block of Lakeshore Ave",0,4,N/A
